Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Shepherd),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Tags),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
ContainerLoggerTest.LOGROTATE_RotateInSandbox breaks when running on Centos6.,MESOS-4515,12934167,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Blocker,Fixed,kaysoky,tillt,tillt,26/Jan/16 17:39,26/Nov/18 12:21,29/Oct/20 16:32,26/Nov/18 12:21,,,,,,,,,0.27.0,,,,,,,,,,,0,mesosphere,module,test,,,,,,"{noformat}
[17:24:58][Step 7/7] logrotate: bad argument --version: unknown error
[17:24:58][Step 7/7] F0126 17:24:57.913729  4503 container_logger_tests.cpp:380] CHECK_SOME(containerizer): Failed to create container logger: Failed to create container logger module 'org_apache_mesos_LogrotateContainerLogger': Error creating Module instance for 'org_apache_mesos_LogrotateContainerLogger' 
[17:24:58][Step 7/7] *** Check failure stack trace: ***
[17:24:58][Step 7/7]     @     0x7f11ae0d2d40  google::LogMessage::Fail()
[17:24:58][Step 7/7]     @     0x7f11ae0d2c9c  google::LogMessage::SendToLog()
[17:24:58][Step 7/7]     @     0x7f11ae0d2692  google::LogMessage::Flush()
[17:24:58][Step 7/7]     @     0x7f11ae0d544c  google::LogMessageFatal::~LogMessageFatal()
[17:24:58][Step 7/7]     @           0x983927  _CheckFatal::~_CheckFatal()
[17:24:58][Step 7/7]     @           0xa9a18b  mesos::internal::tests::ContainerLoggerTest_LOGROTATE_RotateInSandbox_Test::TestBody()
[17:24:58][Step 7/7]     @          0x1623a4e  testing::internal::HandleSehExceptionsInMethodIfSupported<>()
[17:24:58][Step 7/7]     @          0x161eab2  testing::internal::HandleExceptionsInMethodIfSupported<>()
[17:24:58][Step 7/7]     @          0x15ffdfd  testing::Test::Run()
[17:24:58][Step 7/7]     @          0x160058b  testing::TestInfo::Run()
[17:24:58][Step 7/7]     @          0x1600bc6  testing::TestCase::Run()
[17:24:58][Step 7/7]     @          0x1607515  testing::internal::UnitTestImpl::RunAllTests()
[17:24:58][Step 7/7]     @          0x16246dd  testing::internal::HandleSehExceptionsInMethodIfSupported<>()
[17:24:58][Step 7/7]     @          0x161f608  testing::internal::HandleExceptionsInMethodIfSupported<>()
[17:24:58][Step 7/7]     @          0x1606245  testing::UnitTest::Run()
[17:24:58][Step 7/7]     @           0xde36b6  RUN_ALL_TESTS()
[17:24:58][Step 7/7]     @           0xde32cc  main
[17:24:58][Step 7/7]     @     0x7f11a8896d5d  __libc_start_main
[17:24:58][Step 7/7]     @           0x981fc9  (unknown)
{noformat}","Centos6, gcc-4.9.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-26 20:37:22.415,,,false,MESOS-4086,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Jan 27 00:01:47 UTC 2016,,,,,,,"0|i2rzhb:",9223372036854775807,,,,,benjaminhindman,,,,,,Mesosphere Sprint 27,,,,,,,,,,,1.0,,0.27.0,,,,,,,,,"26/Jan/16 20:37;kaysoky;Fix: https://reviews.apache.org/r/42820/","27/Jan/16 00:01;benjaminhindman;{code}
commit 8d2504b3d6e705ebbaccc1e0836f1036c85b0bd5
Author: Joseph Wu <joseph@mesosphere.io>
Date:   Tue Jan 26 16:00:56 2016 -0800

    Fixed logrotate ContainerLogger on Centos6.
    
    The `logrotate --version` flag is actually a very recent addition (3.9.1).
    
    The `--help` flag is more likely to be present on a supported
    system-with-logrotate, given logrotate's usage of popopt.
    
    Review: https://reviews.apache.org/r/42820/
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,
Render quota status consistently with other endpoints.,MESOS-4512,12934148,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Won't Fix,alexr,alexr,alexr,26/Jan/16 16:22,26/Nov/18 12:32,29/Oct/20 16:32,26/Nov/18 12:32,,,,,,,,,,,,,,,master,,,,,0,http,mesosphere,,,,,,,"Currently quota status endpoint returns a collection of {{QuotaInfo}} protos converted to JSON. An example response looks like this:
{code:xml}
{
  ""infos"": [
    {
      ""role"": ""role1"",
      ""guarantee"": [
        {
          ""name"": ""cpus"",
          ""role"": ""*"",
          ""type"": ""SCALAR"",
          ""scalar"": { ""value"": 12 }
        },
        {
          ""name"": ""mem"",
          ""role"": ""*"",
          ""type"": ""SCALAR"",
          ""scalar"": { ""value"": 6144 }
        }
      ]
    }
  ]
}
{code}

Presence of some fields, e.g. ""role"", is misleading. To address this issue and make the output more informative, we should probably introduce a  {{model()}} function for {{QuotaStatus}}.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-05-29 21:46:25.766,,,false,MESOS-4791,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon May 30 20:29:33 UTC 2016,,,,,,,"0|i2rzd3:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,"29/May/16 21:46;vinodkone;Why is `role` here misleading? In the v1 master API we are modeling the output as QuotaInfo as well. Let me know how you want it to look instead. Note that the output needs to be a protobuf not a model() in v1.","30/May/16 01:32;vinodkone;Will fix this in v1 API.","30/May/16 20:29;alexr;I meant the role in {{Resource}}, not the one on {{QuotaInfo}}. Printing '\*' there is misleading, because the resource is set aside for quota, but since technically it is not a reserved resource, {{Resource.role}} must be '\*'. 

Since we are deprecating {{model()}} functions, we can't really do better here and will have to print {{Resource}} proto. I'm fine with closing the ticket.",,,,,,,,,,,,,,,,,,,,,,,,,
Expose ExecutorInfo and TaskInfo for isolators.,MESOS-4500,12933879,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,gilbert,gilbert,gilbert,25/Jan/16 17:19,26/Nov/18 12:21,29/Oct/20 16:32,26/Nov/18 12:21,,,,,,,,,,,,,,,,,,,,0,mesosphere,unified-containerizer-mvp,,,,,,,"Currently we do not have these info for isolator. Image once we have docker runtime isolator, CommandInfo is necessary to support either custom executor or command executor. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,MESOS-2840,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu Jan 28 19:47:56 UTC 2016,,,,,,,"0|i2rxpj:",9223372036854775807,,,,,jieyu,,,,,,Mesosphere Sprint 27,,,,,,,,,,,2.0,,,,,,,,,,,"28/Jan/16 19:47;gilbert;https://reviews.apache.org/r/42690/",,,,,,,,,,,,,,,,,,,,,,,,,,,
Docker provisioner store should reuse existing layers in the cache.,MESOS-4499,12933873,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,jieyu,jieyu,jieyu,25/Jan/16 17:04,26/Nov/18 12:21,29/Oct/20 16:32,26/Nov/18 12:21,,,,,,,,,0.28.0,,,,,,,,,,,0,mesosphere,,,,,,,,"Currently, the docker provisioner store will download all the layers associated with an image if the image is not found locally, even though some layers of it might already exist in the cache.

This is problematic because anytime a user deploys a new image, Mesos will fetch all layers of that new image, even though most of the layers are already cached locally.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-25 17:53:38.523,,,false,MESOS-2840,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Feb 23 23:12:31 UTC 2016,,,,,,,"0|hzzzn2:zzv",9223372036854775807,,,,,,,,,,,Mesosphere Sprint 27,Mesosphere Sprint 28,Mesosphere Sprint 29,,,,,,,,,5.0,,,,,,,,,,,"25/Jan/16 17:53;haosdent@gmail.com;Does the cache here mean Docker engine cache or flags.docker_store_dir?","23/Feb/16 01:17;jieyu;https://reviews.apache.org/r/43801/
https://reviews.apache.org/r/43860/","23/Feb/16 23:12;jieyu;commit 66d0f4496f146fb0c68d23e08d25a9af108c6218
Author: Jie Yu <yujie.jay@gmail.com>
Date:   Mon Feb 22 16:52:01 2016 -0800

    Used uri::Fetcher to pull docker images in docker registry puller.
    
    Review: https://reviews.apache.org/r/43860

commit caf6c02989cfc9236d0ae03eaad4844d6763d5c0
Author: Jie Yu <yujie.jay@gmail.com>
Date:   Fri Feb 19 21:41:01 2016 -0800

    Refactored and simplified the docker puller interfaces.
    
    Review: https://reviews.apache.org/r/43801",,,,,,,,,,,,,,,,,,,,,,,,,
Delete `os::chown` on Windows,MESOS-4495,12933764,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,hausdorff,hausdorff,hausdorff,25/Jan/16 10:02,26/Nov/18 12:21,29/Oct/20 16:32,26/Nov/18 12:21,,,,,,,,,0.28.0,,,,,,stout,,,,,0,mesosphere,stout,windows-mvp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-29 06:00:10.018,,,false,MESOS-3094,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Jan 29 06:00:32 UTC 2016,,,,,,,"0|i2rx07:",9223372036854775807,,,,,jvanremoortere,,,,,,Mesosphere Sprint 27,,,,,,,,,,,1.0,,0.28.0,,,,,,,,,"29/Jan/16 06:00;mcypark;https://reviews.apache.org/r/40613/","29/Jan/16 06:00;mcypark;{noformat}
commit e4547eedfce01c24c3faa3b11cf51b526409dc0b
Author: Alex Naparu <alex.naparu@microsoft.com>
Date:   Mon Nov 23 12:50:19 2015 -0800

    Windows: Made 'os::chown' a POSIX-only function.

    https://reviews.apache.org/r/40613/
{noformat}",,,,,,,,,,,,,,,,,,,,,,,,,,
Implement process querying/counting in Windows,MESOS-4471,12933500,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,hausdorff,hausdorff,hausdorff,22/Jan/16 22:11,26/Nov/18 12:22,29/Oct/20 16:32,26/Nov/18 12:22,,,,,,,,,1.0.0,,,,,,stout,,,,,0,mesosphere,stout,windows-mvp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-04-19 14:28:24.398,,,false,MESOS-3094,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Apr 22 05:31:23 UTC 2016,,,,,,,"0|i2rvdr:",9223372036854775807,,,,,jvanremoortere,,,,,,Mesosphere Sprint 33,,,,,,,,,,,2.0,,,,,,,,,,,"19/Apr/16 14:28;jvanremoortere;https://reviews.apache.org/r/46012/","19/Apr/16 14:28;jvanremoortere;{code}
commit ebd23256907a602823348dcd6a32daa0b53b5054
Author: Alex Clemmer <clemmer.alexander@gmail.com>
Date:   Tue Apr 19 10:03:56 2016 -0400

    Windows: Stout: Implemented `os::pids`.
    
    Review: https://reviews.apache.org/r/46012/
{code}","22/Apr/16 05:31;mcypark;{noformat}
commit 3fd64f4d7a569199e184733c6c448c91ad70733a
Author: Alex Clemmer <clemmer.alexander@gmail.com>
Date:   Thu Apr 21 11:51:33 2016 -0700

    Moved process tests to their own file to libprocess.

    Review: https://reviews.apache.org/r/46015/
{noformat}
{noformat}
commit f79b8bbdc38ab7afafbf37eb63b87497650e12d9
Author: Alex Clemmer <clemmer.alexander@gmail.com>
Date:   Thu Apr 21 11:51:28 2016 -0700

    Moved process tests to their own file to stout.

    Review: https://reviews.apache.org/r/46014/
{noformat}
{noformat}
commit d534d64def535179ff7db06570283184278c8a4c
Author: Alex Clemmer <clemmer.alexander@gmail.com>
Date:   Thu Apr 21 11:51:25 2016 -0700

    Implemented `os::processes` on Windows in stout.

    Review: https://reviews.apache.org/r/46013/
{noformat}",,,,,,,,,,,,,,,,,,,,,,,,,
Implement `waitpid` in Windows,MESOS-4466,12933495,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,hausdorff,hausdorff,hausdorff,22/Jan/16 22:07,26/Nov/18 12:20,29/Oct/20 16:32,26/Nov/18 12:20,,,,,,,,,1.0.0,,,,,,stout,,,,,0,mesosphere,stout,windows-mvp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-04-22 21:12:28.759,,,false,MESOS-3094,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Apr 22 21:12:39 UTC 2016,,,,,,,"0|i2rvcn:",9223372036854775807,,,,,jvanremoortere,,,,,,Mesosphere Sprint 33,,,,,,,,,,,5.0,,,,,,,,,,,"22/Apr/16 21:12;jvanremoortere;    https://reviews.apache.org/r/46341/
https://reviews.apache.org/r/46340/","22/Apr/16 21:12;jvanremoortere;{code}
Author: Alex Clemmer <clemmer.alexander@gmail.com>
Date:   Fri Apr 22 12:50:11 2016 -0700

    Stout: [2/2] Transitioned reap.cpp to `os::waitpid`.
    
    Review: https://reviews.apache.org/r/46341/

commit 66ee32a839976ab804040f9bfd8b8e1029d8abc6
Author: Alex Clemmer <clemmer.alexander@gmail.com>
Date:   Fri Apr 22 12:49:58 2016 -0700

    Stout: [1/2] Implement `os::waitpid`.
    
    Review: https://reviews.apache.org/r/46340/
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,
Create common sha512 compute utility function.,MESOS-4454,12933407,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,jojy,jojy,jojy,22/Jan/16 17:51,26/Nov/18 12:20,29/Oct/20 16:32,26/Nov/18 12:20,,,,,,,,,0.28.0,,,,,,containerization,,,,,0,mesosphere,unified-containerizer-mvp,,,,,,,Add common utility function for computing digests. Start with `sha512` since its immediately needed by appc image fetcher. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-29 02:04:41.836,,,false,MESOS-2840,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Jan 29 02:04:41 UTC 2016,,,,,,,"0|i2rutj:",9223372036854775807,,,,,jieyu,,,,,,Mesosphere Sprint 27,,,,,,,,,,,2.0,,,,,,,,,,,"22/Jan/16 17:54;jojy;https://reviews.apache.org/r/42662/","29/Jan/16 02:04;jieyu;commit ebc85487c125d05745bffbee0bbbd0943b99210f
Author: Jojy Varghese <jojy@mesosphere.io>
Date:   Thu Jan 28 17:36:34 2016 -0800

    Added utility function to compute SHA512 digest.
    
    Review: https://reviews.apache.org/r/42773/",,,,,,,,,,,,,,,,,,,,,,,,,,
"Install 3rdparty package boost, glog, protobuf and picojson when installing Mesos",MESOS-4434,12932545,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,karya,karya,karya,19/Jan/16 22:01,29/Apr/19 09:26,29/Oct/20 16:32,26/Nov/18 12:21,,,,,,,,,1.0.0,,,,,,build,modules,,,,1,mesosphere,,,,,,,,Mesos modules depend on having these packages installed with the exact version as Mesos was compiled with.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-05-12 05:43:07.339,,,false,MESOS-4690,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu May 12 05:43:07 UTC 2016,,,,,,,"0|hzzzhy:zzv",9223372036854775807,,,,,jvanremoortere,,,,,,Mesosphere Sprint 33,Mesosphere Sprint 34,,,,,,,,,,3.0,,,,,,,,,,,"21/Apr/16 22:51;karya;Here are the RRs:

https://reviews.apache.org/r/46537 Added --enable-install-module-dependencies.
https://reviews.apache.org/r/46538 Install module dependencies in build/3rdparty as well.
https://reviews.apache.org/r/46540 Updated pkg-config file to include module dependency info.","11/May/16 23:00;karya;{code}
commit 4f26c7d8dbd0702c7dcd8023717636d5dcc2f90e
Author: Kapil Arya <kapil@mesosphere.io>
Date:   Thu Apr 21 11:51:04 2016 -0400

    Updated pkg-config file to include module dependency info.
    
    Review: https://reviews.apache.org/r/46540

commit bb703634da5d4822142849b75bbcc79105973297
Author: Kapil Arya <kapil@mesosphere.io>
Date:   Thu Apr 21 01:45:50 2016 -0400

    Install module dependencies in build/3rdparty as well.
    
    If configured with --enable-install-module-dependencies, install
    3rdparty dependencies in build/3rdparty.
    
    Review: https://reviews.apache.org/r/46538

commit 6bfd859923965a55218003623de65064983b1e13
Author: Kapil Arya <kapil@mesosphere.io>
Date:   Wed Apr 20 15:30:41 2016 -0400

    Added --enable-install-module-dependencies.
    
    Review: https://reviews.apache.org/r/46537
{code}","12/May/16 05:43;guoger;This definitely ease the compilation of modules. It would be good to have flag `--enable-install-module-dependencies` reflected in documentation as well",,,,,,,,,,,,,,,,,,,,,,,,,
Introduce filtering test abstractions for HTTP events to libprocess,MESOS-4425,12932281,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,Fixed,anandmazumdar,anandmazumdar,anandmazumdar,19/Jan/16 02:07,26/Nov/18 12:21,29/Oct/20 16:32,26/Nov/18 12:21,,,,,,,,,0.27.0,,,,,,libprocess,,,,,0,mesosphere,,,,,,,,"We need a test abstraction for {{HttpEvent}} similar to the already existing one's for {{DispatchEvent}}, {{MessageEvent}} in libprocess.

The abstraction can look similar in semantics to the already existing {{FUTURE_DISPATCH}}/{{FUTURE_MESSAGE}}.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MESOS-4255,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-27 01:22:29.078,,,false,MESOS-3302,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Jan 27 01:22:29 UTC 2016,,,,,,,"0|hzzzqx:",9223372036854775807,,,,,vinodkone,,,,,,Mesosphere Sprint 27,,,,,,,,,,,3.0,,,,,,,,,,,"19/Jan/16 02:08;anandmazumdar;An initial patch: https://reviews.apache.org/r/42183","27/Jan/16 01:22;vinodkone;commit 85d4baa00c29d8064e0c5ff9fef0f24df1e5e769
Author: Anand Mazumdar <mazumdar.anand@gmail.com>
Date:   Tue Jan 26 17:21:28 2016 -0800

    Introduced `FUTURE_HTTP_*` for filtering HTTP based events.
    
    This change introduces `FUTURE_HTTP_*` for filtering HTTP based events
    similar to the already existing filters for Messages/Dispatch events.
    Also, added `FUTURE_HTTP_CALL_*` for union based protobufs.
    
    Review: https://reviews.apache.org/r/42184/

commit a95829b68624d4d01bdbe29aaf9981b12f37ee61
Author: Anand Mazumdar <mazumdar.anand@gmail.com>
Date:   Tue Jan 26 17:21:07 2016 -0800

    Introduced HttpEvent based filters in libprocess.
    
    This change introduces the ability to filter `HTTPEvent` in libprocess
    similar to the already existing `MessageEvent` and `DispatchEvent`.
    
    Review: https://reviews.apache.org/r/42183/
",,,,,,,,,,,,,,,,,,,,,,,,,,
Prevent allocator from crashing on successful recovery.,MESOS-4417,12931738,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Blocker,Fixed,alexr,alexr,alexr,17/Jan/16 08:43,26/Nov/18 12:21,29/Oct/20 16:32,26/Nov/18 12:21,,,,,,,,,0.27.0,,,,,,allocation,,,,,0,mesosphere,,,,,,,,"There might be a bug that may crash the master as pointed out by [~bmahler] in https://reviews.apache.org/r/42222/:
{noformat}
It looks like if we trip the resume call in addSlave, this delayed resume will crash the master 
due to the CHECK(paused) that currently resides in resume.
{noformat}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-21 07:48:09.549,,,false,MESOS-1791,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu Jan 21 07:48:09 UTC 2016,,,,,,,"0|i2rkjb:",9223372036854775807,,,,,jvanremoortere,,,,,,Mesosphere Sprint 27,,,,,,,,,,,3.0,,0.27.0,,,,,,,,,"20/Jan/16 02:09;alexr;https://reviews.apache.org/r/42535/","21/Jan/16 07:48;jvanremoortere;{code}
commit 7c5e89ed704c02f3d00dc5742de0cf7ef9989c3b
Author: Alexander Rukletsov <rukletsov@gmail.com>
Date:   Wed Jan 20 23:45:29 2016 -0800

    Quota: Made allocator's pause/resume idempotent.
    
    Review: https://reviews.apache.org/r/42535/
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,
Traverse all roles for quota allocation.,MESOS-4411,12931609,Bug,Resolved,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Blocker,Fixed,gyliu,alexr,alexr,15/Jan/16 23:43,26/Nov/18 12:22,29/Oct/20 16:32,26/Nov/18 12:22,,,,,,,,,0.27.0,,,,,,allocation,,,,,0,mesosphere,,,,,,,,There might be a bug in how resources are allocated to multiple quota'ed roles if one role's quota is met. We need to investigate this behavior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-16 12:45:42.651,,,false,MESOS-1791,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Jan 19 23:47:25 UTC 2016,,,,,,,"0|i2rjqn:",9223372036854775807,,,,,jvanremoortere,,,,,,Mesosphere Sprint 27,,,,,,,,,,,3.0,,0.27.0,,,,,,,,,"15/Jan/16 23:45;alexr;Initial review, discussing the problem and (partially) addressing it: https://reviews.apache.org/r/41769/","16/Jan/16 12:45;gyliu;Its ready for review https://reviews.apache.org/r/41769/","19/Jan/16 17:17;alexr;https://reviews.apache.org/r/42511/","19/Jan/16 23:47;jvanremoortere;{code}
commit e7d71f9043476486f2cf2e125cb257c4f985f9ac
Author: Alexander Rukletsov <rukletsov@gmail.com>
Date:   Tue Jan 19 15:37:14 2016 -0800

    Quota: Updated comments around hierarchical tests.
    
    Review: https://reviews.apache.org/r/42511/

commit 472628ae5f6ea106ede99461db0747e665212fef
Author: Guangya Liu <gyliu513@gmail.com>
Date:   Tue Jan 19 15:37:02 2016 -0800

    Quota: Fixed allocator traversal for roles for quota.
    
    Review: https://reviews.apache.org/r/41769/
{code}",,,,,,,,,,,,,,,,,,,,,,,,
Synchronously handle AuthZ errors for the Scheduler endpoint.,MESOS-4398,12931530,Bug,Open,MESOS,Mesos,software,benjaminhindman,Distributed cluster manager.,http://mesos.apache.org/,Major,,,anandmazumdar,anandmazumdar,15/Jan/16 18:14,22/Jan/16 20:11,29/Oct/20 16:32,,0.25.0,,,,,,,,,,,,,,,,,,,0,mesosphere,,,,,,,,"Currently, any AuthZ errors for the {{/scheduler}} endpoint are handled asynchronously as {{FrameworkErrorMessage}}. Here is an example:

{code}
  if (authorizationError.isSome()) {
    LOG(INFO) << ""Refusing subscription of framework""
              << "" '"" << frameworkInfo.name() << ""'""
              << "": "" << authorizationError.get().message;

    FrameworkErrorMessage message;
    message.set_message(authorizationError.get().message);
    http.send(message);
    http.close();
    return;
  }
{code}

We would like to handle such errors synchronously when the request is received similar to what other endpoints like {{/reserve}}/{{/quota}} do. We already have the relevant functions {{authorizeXXX}} etc in {{master.cpp}}. We should just make the requests pass through once the relevant {{Future}} from the {{authorizeXXX}} function is fulfilled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,MESOS-3302,,,,,,,,,,,,,,,,,9223372036854775807,,,2016-01-15 18:14:10.0,,,,,,,"0|hzzzy6:tzy",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
